Guest OS Analysis for Google Demo Customer
,
Applied Filters
None
,
Table Data
VM Name,Tags,Severity,VM State,Guest OS,End of Support,32/64 bits,vCPU,vRAM (GB),Tools Installed
VM-1308495,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,8,4.00,Installed
VM-1308590,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,8,8.00,Installed
VM-1308622,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,8,8.00,Installed
VM-1322837,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,4.00,Installed
VM-1324114,PoweredOn;windows_power_on,Noteworthy,Powered On,Windows Server 2016,,64-bit,4,8.00,Installed
VM-1331426,on,Normal,Template,Windows Server 2012,10 Jan 2023,64-bit,1,2.00,Installed
VM-134599,PoweredOn,Normal,Powered Off,Red Hat Enterprise Linux 6,30 Nov 2023,64-bit,1,2.00,Installed
VM-1367529,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,8,8.00,Installed
VM-1367533,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,8,4.00,Installed
VM-1367551,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,8,8.00,Installed
VM-1367553,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,8,8.00,Installed
VM-1376240,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,8.00,Installed
VM-1385264,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,16.00,Installed
VM-1385265,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,16,64.00,Installed
VM-1399120,PoweredOn;windows_power_on,Normal,Powered On,Windows Server 2012,10 Jan 2023,64-bit,8,8.00,Installed
VM-1399121,PoweredOn;windows_power_on,Normal,Powered On,Windows Server 2012,10 Jan 2023,64-bit,8,8.00,Installed
VM-1399122,PoweredOn;windows_power_on,Normal,Powered On,Windows Server 2012,10 Jan 2023,64-bit,8,8.00,Installed
VM-140368,PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,8,10.00,Installed
